clumsy,4.00,(2.22),5.18,(2.40),3.86,(1.79),6
coarse,4.55,(1.42),4.21,(1.84),5.00,(1.43),10
coast,5.98,(1.86),4.59,(2.31),5.67,(1.71),61
cockroach,2.81,(2.11),6.11,(2.78),4.74,(2.58),2
coffin,2.56,(1.96),5.03,(2.79),4.08,(2.54),7
coin,6.02,(1.96),4.29,(2.48),5.66,(1.68),10
cold,4.02,(1.99),5.19,(2.23),4.69,(1.73),171
color,7.02,(1.57),4.73,(2.64),6.17,(1.82),141
column,5.17,(0.85),3.62,(1.91),4.81,(1.58),71
comedy,8.37,(0.94),5.85,(2.81),5.44,(2.08),39
comfort,7.07,(2.14),3.93,(2.85),5.70,(2.05),43
computer,6.24,(1.61),4.75,(1.93),5.29,(1.99),13
concentrate,5.20,(1.28),4.65,(2.13),4.97,(1.75),11
confident,7.98,(1.29),6.22,(2.41),7.68,(1.94),16
confused,3.21,(1.51),6.03,(1.88),4.24,(1.91),44
consoled,5.78,(1.64),4.53,(2.22),4.44,(1.84),2
contempt,3.85,(2.13),5.28,(2.04),5.13,(1.73),15
contents,4.89,(0.89),4.32,(2.14),4.85,(1.49),16
context,5.20,(1.38),4.22,(2.24),5.17,(1.39),2
controlling,3.80,(2.25),6.10,(2.19),5.17,(3.15),23
cook,6.16,(1.89),4.44,(1.96),5.14,(1.49),47
cord,5.10,(1.09),3.54,(2.09),5.00,(1.22),6
cork,5.22,(1.13),3.80,(2.18),4.98,(1.04),9
corner,4.36,(1.21),3.91,(1.92),4.12,(1.66),115
corpse,2.18,(1.48),4.74,(2.94),3.59,(2.44),7
corridor,4.88,(1.14),3.63,(2.41),5.00,(1.48),17
corrupt,3.32,(2.32),4.67,(2.35),4.64,(2.30),8
cottage,6.45,(1.52),3.39,(2.54),5.39,(1.78),19
couple,7.41,(1.97),6.39,(2.31),6.02,(2.28),122
cow,5.57,(1.53),3.49,(2.13),5.32,(1.61),29
coward,2.74,(1.64),4.07,(2.19),2.83,(1.61),8
dentist,4.02,(2.23),5.73,(2.13),3.80,(2.16),12
depressed,1.83,(1.42),4.72,(2.95),2.74,(2.13),11
depression,1.85,(1.67),4.54,(3.19),2.91,(2.27),24
derelict,4.28,(1.84),4.10,(1.94),4.78,(1.56),1
deserter,2.45,(1.80),5.50,(2.55),3.77,(2.29),.
desire,7.69,(1.39),7.35,(1.76),6.49,(1.83),79
despairing,2.43,(1.47),5.68,(2.37),3.43,(2.11),4
despise,2.03,(1.38),6.28,(2.43),4.72,(2.80),7
destroy,2.64,(2.03),6.83,(2.38),4.94,(2.86),48
destruction,3.16,(2.44),5.82,(2.71),3.93,(2.29),38
detached,3.86,(1.88),4.26,(2.57),3.63,(2.15),12
detail,5.55,(1.58),4.10,(2.24),5.21,(1.60),72
detest,2.17,(1.30),6.06,(2.39),5.83,(2.60),1
devil,2.21,(1.99),6.07,(2.61),5.35,(2.75),25
devoted,7.41,(1.37),5.23,(2.21),6.18,(2.36),51
diamond,7.92,(1.20),5.53,(2.96),5.54,(2.28),8
dignified,7.10,(1.26),4.12,(2.29),6.12,(2.40),7
dinner,7.16,(1.50),5.43,(2.14),6.10,(1.87),91
diploma,8.00,(1.39),5.67,(2.80),6.76,(2.50),.
dirt,4.17,(1.77),3.76,(2.26),4.83,(1.82),43
dirty,3.08,(2.05),4.88,(2.29),4.70,(2.12),36
disappoint,2.39,(1.44),4.92,(2.64),3.29,(2.32),.
disaster,1.73,(1.13),6.33,(2.70),3.52,(2.42),26
discomfort,2.19,(1.23),4.17,(2.44),3.86,(2.26),7
discouraged,3.00,(2.16),4.53,(2.11),3.61,(2.01),15
disdainful,3.68,(1.90),5.04,(2.14),4.55,(1.92),2
disgusted,2.45,(1.41),5.42,(2.59),4.34,(1.94),6
disloyal,1.93,(1.61),6.56,(2.21),3.79,(2.75),2
displeased,2.79,(2.23),5.64,(2.48),4.19,(2.19),7
distressed,1.94,(1.10),6.40,(2.38),3.76,(2.41),4
disturb,3.66,(2.00),5.80,(2.39),4.55,(1.90),10
diver,6.45,(1.55),5.04,(2.10),5.04,(1.91),1
divorce,2.22,(1.88),6.33,(2.71),3.26,(2.24),29
doctor,5.20,(2.54),5.86,(2.70),4.89,(2.75),100
dog,7.57,(1.66),5.76,(2.50),6.25,(2.10),75
doll,6.09,(1.96),4.24,(2.43),4.61,(2.07),10
dollar,7.47,(1.72),6.07,(2.67),6.33,(2.42),46
door,5.13,(1.44),3.80,(2.29),4.69,(1.72),312
dove,6.90,(1.54),3.79,(2.28),5.48,(1.70),4
fall,4.09,(2.21),4.70,(2.48),4.00,(2.15),147
